hashtag,apeldoorn,6.91E-05,4.98E-05,2.74E-04,6.51E-05,2.91E-05,4.46E-05,6.59E-05,2.62E-05,1.03E-04,0.001373007,4.84E-05,1.05E-04
tweet,oldenzaal,6.30E-05,5.92E-05,0.001673011,3.51E-05,4.41E-05,3.51E-05,4.39E-05,1.38E-05,3.42E-05,7.14E-05,4.56E-05,4.84E-05
tweet,delfzijl,3.06E-05,6.95E-05,6.44E-05,5.37E-05,9.22E-06,0.002480255,9.98E-05,3.46E-06,2.06E-04,4.64E-05,4.59E-05,2.10E-05
hashtag,denhaag,1.81E-04,2.05E-04,1.00E-04,2.18E-04,1.32E-04,7.71E-05,5.85E-05,1.66E-04,1.37E-04,1.70E-04,0.001207131,2.71E-04
description,arnhem,2.68E-05,2.18E-05,2.21E-05,8.58E-06,9.22E-06,2.88E-06,1.38E-05,3.46E-06,4.61E-06,8.60E-04,8.20E-06,2.65E-05
tweet,nac,0.001962769,1.66E-04,3.66E-04,1.52E-04,2.16E-04,1.75E-04,2.75E-04,5.33E-04,8.51E-05,2.52E-04,2.74E-04,1.27E-04
tweet,fries,1.11E-04,2.47E-04,1.77E-04,2.31E-04,6.04E-05,6.02E-04,0.002356018,1.00E-04,3.30E-04,1.22E-04,1.14E-04,1.63E-04
description,brabant,8.09E-04,5.61E-06,2.54E-05,8.17E-06,1.19E-04,2.88E-06,3.16E-06,7.74E-05,5.26E-05,2.48E-05,1.92E-05,4.36E-05
hashtag,psv,0.001987649,3.45E-04,3.59E-04,2.98E-04,3.63E-04,2.82E-04,2.82E-04,7.51E-04,3.90E-04,4.27E-04,2.58E-04,3.47E-04
description,tilburg,8.14E-04,2.87E-05,6.92E-06,1.44E-05,3.14E-05,1.16E-05,1.43E-05,6.89E-05,4.61E-06,3.11E-05,2.07E-05,7.84E-06
hashtag,maastricht,1.38E-04,9.66E-05,7.85E-05,1.14E-04,7.77E-05,5.68E-05,5.74E-05,0.002712957,5.25E-05,1.10E-04,8.47E-05,1.49E-04
tweet,030,7.55E-05,3.84E-05,8.51E-05,1.19E-04,9.22E-06,4.29E-05,2.65E-05,3.57E-05,1.89E-05,5.63E-05,9.11E-05,0.001566035
tweet,groningers,6.29E-05,1.68E-04,9.18E-05,1.34E-04,1.08E-04,0.002297765,2.87E-04,5.05E-05,4.25E-04,1.17E-04,1.15E-04,1.09E-04
tweet,pec,2.21E-04,3.07E-04,0.002140437,1.45E-04,3.74E-04,3.57E-04,2.58E-04,1.57E-04,4.47E-04,4.15E-04,2.05E-04,1.88E-04
tweet,gelderlander,7.37E-05,2.77E-05,5.99E-05,3.75E-05,9.22E-06,1.68E-05,3.70E-05,1.02E-04,3.02E-05,0.001252958,2.72E-05,5.96E-05
description,breda,8.45E-04,5.61E-06,1.52E-05,2.44E-05,9.22E-06,2.88E-06,3.16E-06,2.65E-05,4.61E-06,1.08E-05,2.38E-05,2.49E-05
hashtag,almelo,1.56E-05,5.87E-05,0.001360116,3.32E-05,3.40E-05,6.37E-05,1.41E-05,9.11E-06,3.72E-05,6.38E-05,2.87E-05,2.92E-05
tweet,yn,1.09E-06,5.61E-06,2.34E-05,1.21E-05,4.89E-05,1.75E-04,0.002138659,3.46E-06,3.83E-05,1.28E-05,8.50E-06,6.88E-06
tweet,hilversum,2.40E-04,0.001029269,3.07E-04,0.001606248,7.89E-05,2.82E-04,1.76E-04,2.26E-04,2.29E-04,3.32E-04,2.80E-04,8.64E-04
hashtag,tdfutrecht,1.03E-04,1.27E-04,1.39E-04,1.34E-04,2.96E-05,5.41E-05,5.51E-05,5.84E-05,3.19E-05,1.25E-04,1.03E-04,0.001555079
hashtag,dvhn,1.09E-06,1.98E-05,1.89E-05,3.53E-06,9.22E-06,0.001457706,6.47E-05,3.46E-06,0.001277398,6.14E-06,7.68E-07,1.30E-06
tweet,grunn,5.34E-05,5.61E-06,1.21E-04,7.22E-05,9.22E-06,0.001801834,2.97E-04,1.35E-05,7.60E-04,3.41E-05,4.71E-05,7.49E-05
tweet,kerkrade,1.13E-04,2.46E-05,1.06E-04,6.25E-05,6.78E-05,1.01E-04,1.33E-04,0.002650453,6.36E-05,8.31E-05,7.51E-05,5.69E-05
hashtag,rtvdrenthe,9.16E-06,5.61E-06,6.48E-05,1.08E-05,9.22E-06,4.37E-04,2.22E-05,3.46E-06,0.003938412,1.76E-05,3.98E-06,6.29E-06
tweet,tram,1.15E-04,1.93E-04,1.10E-04,9.62E-04,7.72E-05,1.41E-04,1.04E-04,2.15E-04,4.87E-05,1.21E-04,0.001060293,3.40E-04
tweet,zwolse,1.72E-05,2.94E-05,0.001376473,2.53E-05,4.12E-05,4.99E-05,5.45E-05,1.53E-05,1.15E-04,8.78E-05,3.94E-05,5.72E-05
tweet,dvhn,1.51E-05,2.29E-05,9.60E-06,1.96E-05,9.22E-06,0.001315874,1.28E-04,1.63E-05,0.00116823,9.35E-06,1.82E-05,1.01E-05
